bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49
495500.0,516500.0,490000.0,499500.0,484500.0,474500.0,530500.0,501000.0,506500.0,507500.0,487500.0,477500.0,517000.0,519000.0,493500.0,486000.0,494500.0,500500.0,476500.0,504000.0,487500.0,494500.0,507500.0,479500.0,481500.0,493000.0,507000.0,534500.0,502000.0,466500.0,507500.0,528500.0,495500.0,506500.0,503500.0,499500.0,512000.0,498000.0,517000.0,499000.0,523500.0,518000.0,490000.0,508000.0,496500.0,495500.0,488500.0,490000.0,499500.0,508000.0
500000.0,505000.0,502500.0,487500.0,491000.0,475000.0,531000.0,495500.0,510500.0,515000.0,483500.0,483000.0,515500.0,520500.0,490500.0,482500.0,494000.0,499500.0,478000.0,506500.0,474500.0,503000.0,505500.0,486500.0,499000.0,462000.0,510500.0,534000.0,508500.0,463500.0,499500.0,531500.0,511000.0,496000.0,513000.0,501500.0,505500.0,503000.0,514500.0,485000.0,532000.0,523000.0,485000.0,511500.0,507000.0,490500.0,489500.0,477000.0,509500.0,501000.0
491500.0,515500.0,500500.0,486000.0,498500.0,480000.0,497500.0,507000.0,511000.0,524500.0,475500.0,497000.0,497500.0,528000.0,492000.0,482000.0,497500.0,492000.0,490000.0,505500.0,466000.0,506000.0,503000.0,491500.0,488000.0,478000.0,500500.0,547500.0,501000.0,475500.0,481500.0,518500.0,525500.0,505000.0,497000.0,513500.0,505000.0,500000.0,511500.0,486000.0,526500.0,524500.0,489000.0,515500.0,506500.0,502500.0,475500.0,495000.0,489500.0,506000.0
480000.0,528000.0,500000.0,480000.0,500000.0,480500.0,491000.0,523500.0,507500.0,507500.0,486500.0,494500.0,489500.0,535000.0,503000.0,477500.0,504500.0,491000.0,485000.0,501500.0,469500.0,507500.0,504000.0,485500.0,488500.0,478000.0,499500.0,541000.0,506000.0,478000.0,480000.0,517000.0,530000.0,493000.0,513000.0,494000.0,503500.0,512000.0,504500.0,491000.0,519000.0,531000.0,501500.0,502500.0,500500.0,501500.0,484500.0,490500.0,496500.0,511000.0
482000.0,512000.0,510500.0,483000.0,510000.0,475000.0,483500.0,524000.0,517000.0,503500.0,493500.0,489500.0,492500.0,521500.0,517500.0,472500.0,496000.0,498500.0,494000.0,484500.0,486500.0,504000.0,495500.0,501500.0,473000.0,478500.0,503500.0,518000.0,521500.0,486500.0,483000.0,498500.0,547500.0,496500.0,508500.0,501000.0,499500.0,511500.0,497500.0,503500.0,501000.0,527500.0,499000.0,524500.0,496000.0,502500.0,473500.0,489000.0,502000.0,509000.0
490500.0,510500.0,508500.0,493000.0,493000.0,486000.0,481000.0,515000.0,517000.0,503000.0,502500.0,488000.0,494500.0,532000.0,505500.0,480000.0,476500.0,505000.0,500000.0,489000.0,498500.0,494000.0,483000.0,500000.0,487500.0,477000.0,501500.0,513000.0,521000.0,487500.0,484500.0,490000.0,543500.0,513000.0,498000.0,500500.0,513500.0,503500.0,500500.0,503000.0,504000.0,518500.0,509500.0,504000.0,517500.0,492500.0,480000.0,491000.0,496500.0,503000.0
504000.0,493000.0,515500.0,505500.0,483000.0,491000.0,487500.0,494000.0,518000.0,523500.0,503000.0,472000.0,498000.0,519500.0,523500.0,481500.0,474000.0,506500.0,483000.0,489500.0,510000.0,490000.0,487500.0,505500.0,487500.0,489000.0,480000.0,524000.0,508500.0,495500.0,486000.0,484500.0,541500.0,516000.0,507000.0,481000.0,514500.0,511500.0,503000.0,505500.0,494500.0,515500.0,522000.0,500500.0,518500.0,480000.0,504500.0,485500.0,494500.0,491000.0
502000.0,491000.0,514000.0,514000.0,469500.0,504500.0,480000.0,493500.0,525000.0,522500.0,494500.0,484500.0,496500.0,504000.0,536500.0,491500.0,462500.0,509000.0,478500.0,502500.0,504500.0,488000.0,486000.0,503500.0,480500.0,493500.0,487500.0,504500.0,520500.0,501500.0,484500.0,489500.0,533500.0,513000.0,500500.0,498000.0,501500.0,522500.0,481000.0,520000.0,498500.0,506500.0,523000.0,500500.0,530000.0,481500.0,508500.0,475500.0,499500.0,486500.0
492000.0,508500.0,503000.0,501000.0,481000.0,497500.0,496500.0,478000.0,517000.0,531500.0,488000.0,491500.0,500000.0,507500.0,536000.0,488000.0,466500.0,498000.0,501000.0,489000.0,503000.0,491500.0,489000.0,492500.0,494500.0,492000.0,477000.0,500000.0,515500.0,509500.0,487000.0,489000.0,519500.0,533000.0,501000.0,498000.0,508500.0,495000.0,502000.0,508000.0,507000.0,498500.0,538000.0,496000.0,521000.0,492500.0,494000.0,483000.0,497000.0,496000.0
501000.0,511500.0,499000.0,513500.0,475000.0,491500.0,492500.0,484000.0,504500.0,539500.0,489500.0,501500.0,487500.0,505500.0,528000.0,496000.0,481000.0,490500.0,494000.0,498000.0,503500.0,482000.0,494000.0,497000.0,492000.0,484000.0,493000.0,488000.0,516500.0,514000.0,496000.0,482500.0,502500.0,543000.0,500500.0,496500.0,499500.0,511000.0,506000.0,511000.0,494000.0,503000.0,531500.0,495000.0,525000.0,500000.0,486500.0,484000.0,489500.0,495500.0
509000.0,496500.0,505500.0,500500.0,482500.0,495500.0,491500.0,480000.0,511000.0,544000.0,483000.0,506500.0,482500.0,499500.0,521500.0,508500.0,481500.0,479500.0,518000.0,479000.0,510000.0,475000.0,498500.0,491000.0,493000.0,491000.0,496000.0,489000.0,515000.0,512500.0,494000.0,485500.0,505000.0,528000.0,513500.0,501000.0,489500.0,504000.0,521000.0,495500.0,504000.0,491000.0,539500.0,491500.0,531000.0,500000.0,480500.0,502500.0,490500.0,486000.0
506000.0,495000.0,493000.0,504000.0,492500.0,495000.0,486500.0,490500.0,497500.0,536000.0,504500.0,504500.0,476500.0,508000.0,511500.0,506500.0,491500.0,486000.0,503500.0,491500.0,493500.0,481500.0,499000.0,495000.0,492000.0,480500.0,500500.0,483500.0,515000.0,518000.0,490000.0,484000.0,509500.0,535500.0,498500.0,508500.0,500000.0,502500.0,499000.0,503000.0,514000.0,489500.0,526500.0,510500.0,518000.0,501000.0,483000.0,507000.0,487000.0,494500.0
510000.0,492500.0,493500.0,510000.0,500000.0,489500.0,485500.0,492000.0,502000.0,517000.0,512000.0,511000.0,475500.0,510500.0,504500.0,520500.0,493000.0,479500.0,495500.0,493000.0,498500.0,490000.0,493000.0,489000.0,478000.0,494500.0,499000.0,496000.0,498000.0,512500.0,505500.0,482000.0,512500.0,517000.0,511500.0,523500.0,484000.0,503500.0,493500.0,511500.0,514500.0,487000.0,522500.0,520000.0,517000.0,499500.0,494000.0,487500.0,498000.0,480000.0
508000.0,495500.0,494000.0,508000.0,505000.0,481500.0,492000.0,499500.0,495500.0,502500.0,522000.0,497500.0,490500.0,514500.0,506500.0,500500.0,509000.0,481000.0,490500.0,499000.0,506000.0,481000.0,489000.0,494500.0,482000.0,486500.0,505000.0,485000.0,505000.0,510500.0,498500.0,489500.0,511000.0,512000.0,509500.0,526500.0,492500.0,495000.0,513000.0,498500.0,522000.0,483500.0,520000.0,517500.0,502500.0,518000.0,497500.0,478000.0,508500.0,469500.0
503000.0,503500.0,501500.0,495000.0,510000.0,484500.0,485500.0,506500.0,484000.0,497500.0,537500.0,493000.0,499500.0,500500.0,505000.0,503000.0,512000.0,481500.0,499000.0,501000.0,496500.0,485500.0,482500.0,494000.0,493000.0,491500.0,497500.0,484000.0,499000.0,509000.0,501500.0,491000.0,502000.0,518000.0,503000.0,528000.0,498000.0,494000.0,504500.0,501500.0,523500.0,497000.0,507000.0,522000.0,499000.0,526500.0,488500.0,470000.0,521000.0,468500.0
488500.0,513500.0,497500.0,496500.0,510000.0,483000.0,489000.0,504500.0,490500.0,493500.0,531000.0,501000.0,502500.0,494000.0,498500.0,513000.0,505500.0,483000.0,499000.0,516000.0,489000.0,488000.0,467500.0,516500.0,483000.0,490500.0,483000.0,493500.0,502000.0,502000.0,502000.0,494500.0,498000.0,521000.0,507000.0,524500.0,507000.0,486500.0,509000.0,500500.0,515000.0,493500.0,508500.0,522500.0,502000.0,526000.0,495500.0,476000.0,513000.0,473000.0
496000.0,499500.0,507000.0,489500.0,515000.0,486500.0,481000.0,514000.0,491000.0,485000.0,529000.0,510500.0,495000.0,497000.0,502000.0,503500.0,496000.0,500500.0,489000.0,528500.0,481500.0,496000.0,462500.0,509000.0,495000.0,493500.0,474500.0,497000.0,494500.0,504500.0,501000.0,503000.0,498000.0,516000.0,501500.0,525000.0,503000.0,497500.0,499000.0,506500.0,512000.0,498000.0,509000.0,518000.0,518500.0,511500.0,490000.0,488500.0,513500.0,467000.0
495500.0,490500.0,505500.0,489000.0,526500.0,482000.0,488500.0,514000.0,484500.0,486000.0,517000.0,520000.0,495000.0,488000.0,514000.0,490000.0,513500.0,491000.0,485500.0,528000.0,488000.0,492500.0,461500.0,503500.0,505500.0,482500.0,480000.0,500000.0,495000.0,504000.0,504000.0,496000.0,501500.0,524500.0,492000.0,517000.0,515500.0,490500.0,501000.0,502500.0,500000.0,517000.0,506500.0,515000.0,518000.0,507000.0,496500.0,490500.0,503500.0,485000.0
482000.0,496500.0,506000.0,491000.0,515500.0,490500.0,489000.0,507500.0,489000.0,485500.0,516500.0,519500.0,501500.0,484500.0,507500.0,502500.0,516500.0,479500.0,501000.0,503500.0,492500.0,509000.0,459500.0,491500.0,517000.0,480500.0,475500.0,494500.0,509000.0,492000.0,501500.0,499000.0,505000.0,521000.0,499000.0,509000.0,514000.0,503000.0,487000.0,507000.0,499000.0,506500.0,528000.0,508000.0,500000.0,523000.0,495500.0,499500.0,503500.0,485500.0
491500.0,490500.0,498000.0,501000.0,505500.0,506000.0,477500.0,502000.0,502500.0,485000.0,507000.0,524000.0,499000.0,479500.0,519000.0,494000.0,505500.0,494000.0,514000.0,493000.0,498500.0,506000.0,462000.0,489000.0,507500.0,487500.0,481500.0,489000.0,498500.0,488000.0,504500.0,510000.0,503500.0,517000.0,498500.0,501500.0,516500.0,518500.0,482000.0,509000.0,493000.0,507500.0,533000.0,494500.0,504000.0,518000.0,506500.0,499500.0,502500.0,484500.0
489500.0,494500.0,495500.0,495500.0,501500.0,511500.0,469500.0,504500.0,507500.0,488000.0,495000.0,536000.0,497000.0,485000.0,511500.0,494500.0,507500.0,492500.0,512500.0,498000.0,499500.0,510000.0,457000.0,487500.0,506000.0,493500.0,488500.0,483000.0,504000.0,485000.0,496000.0,497000.0,518500.0,513000.0,504000.0,498500.0,516500.0,523500.0,469500.0,509000.0,500000.0,507000.0,530500.0,497000.0,503000.0,515500.0,524000.0,481500.0,507000.0,488000.0
500500.0,487000.0,500000.0,499000.0,497000.0,517000.0,474000.0,504500.0,497500.0,497000.0,481500.0,532000.0,507000.0,484000.0,513000.0,484500.0,512000.0,501500.0,512500.0,491500.0,502000.0,508500.0,467500.0,482000.0,504000.0,496500.0,487500.0,470500.0,513000.0,481500.0,505500.0,495500.0,507500.0,518500.0,504500.0,494500.0,513500.0,531000.0,473500.0,499000.0,498000.0,514000.0,524000.0,511000.0,499000.0,512500.0,532000.0,479500.0,502000.0,479000.0
507000.0,482000.0,506500.0,495500.0,499000.0,509000.0,485000.0,501000.0,493000.0,498000.0,480500.0,529000.0,509500.0,482000.0,514500.0,491000.0,500000.0,507000.0,516500.0,497000.0,496500.0,516000.0,454500.0,491500.0,491000.0,510000.0,491000.0,463500.0,514000.0,479500.0,500000.0,502000.0,502000.0,518000.0,506000.0,496500.0,515500.0,528000.0,485000.0,491000.0,496500.0,518500.0,513000.0,518000.0,493500.0,518000.0,535000.0,473000.0,503500.0,476500.0
504500.0,482000.0,501000.0,493500.0,492000.0,506500.0,495500.0,500500.0,496500.0,499000.0,480000.0,522000.0,512000.0,477500.0,523500.0,493500.0,494500.0,513500.0,501000.0,501500.0,499500.0,510500.0,467000.0,499000.0,476500.0,516000.0,484500.0,474000.0,498000.0,489500.0,489500.0,504000.0,516000.0,500000.0,507000.0,514500.0,502000.0,531000.0,492500.0,483000.0,495000.0,524500.0,503000.0,530000.0,491000.0,502500.0,547500.0,479500.0,497000.0,486000.0
511000.0,478000.0,492500.0,514500.0,483500.0,512500.0,492000.0,493500.0,510500.0,480000.0,486500.0,519500.0,511000.0,484500.0,507000.0,511500.0,494000.0,503500.0,500000.0,511000.0,501500.0,503500.0,464500.0,492500.0,483000.0,512000.0,486500.0,476000.0,505000.0,488000.0,488500.0,506500.0,502500.0,514500.0,504500.0,511500.0,501000.0,525500.0,502000.0,483500.0,494000.0,513000.0,513000.0,524000.0,493000.0,504500.0,534500.0,497000.0,492500.0,485500.0
515000.0,473000.0,477500.0,517500.0,493000.0,506500.0,486500.0,500000.0,508000.0,488500.0,495000.0,492500.0,530000.0,484500.0,500500.0,511500.0,488500.0,502000.0,511500.0,498500.0,517000.0,502000.0,460000.0,492500.0,478000.0,515500.0,497000.0,470000.0,502000.0,490500.0,490000.0,511000.0,491500.0,510000.0,509500.0,518500.0,500000.0,513500.0,508000.0,480500.0,500500.0,519500.0,503500.0,526000.0,496000.0,507000.0,524500.0,503500.0,487000.0,495500.0
501000.0,475000.0,491500.0,519500.0,489500.0,509000.0,489000.0,494500.0,507500.0,487000.0,496500.0,496500.0,519000.0,500000.0,487500.0,513000.0,486500.0,510500.0,509500.0,503000.0,513500.0,497500.0,472500.0,493000.0,473000.0,511500.0,494500.0,482000.0,500000.0,483500.0,495500.0,498000.0,486500.0,515000.0,523000.0,510000.0,514500.0,501500.0,514500.0,476500.0,496000.0,516000.0,502000.0,523000.0,497000.0,509500.0,523500.0,507000.0,493500.0,491000.0
502500.0,484500.0,473000.0,531000.0,486000.0,498500.0,498500.0,493000.0,504500.0,494000.0,489500.0,494000.0,522500.0,505000.0,491000.0,517000.0,477000.0,518000.0,503500.0,498500.0,520500.0,490500.0,489000.0,486500.0,470000.0,509000.0,497000.0,483000.0,495000.0,483000.0,491000.0,505500.0,487000.0,523000.0,511000.0,503000.0,528500.0,492000.0,525500.0,476500.0,493500.0,515500.0,490500.0,534500.0,489000.0,514000.0,521500.0,508500.0,495500.0,489500.0
500000.0,495500.0,478500.0,509000.0,496000.0,498500.0,502000.0,485500.0,505000.0,495500.0,491500.0,490500.0,519500.0,516500.0,485000.0,510500.0,483500.0,523000.0,488500.0,502500.0,517500.0,510000.0,474000.0,496500.0,473000.0,502000.0,500500.0,479000.0,487500.0,495000.0,490500.0,497500.0,490500.0,526500.0,513000.0,502500.0,524500.0,496000.0,524000.0,469000.0,496500.0,519000.0,484000.0,534000.0,499500.0,510500.0,509000.0,526000.0,496000.0,480000.0
502500.0,495000.0,483500.0,493500.0,513000.0,495000.0,499000.0,492500.0,495000.0,502000.0,485500.0,493000.0,519000.0,511000.0,494000.0,498500.0,490500.0,520000.0,492500.0,504500.0,504000.0,529500.0,463000.0,494500.0,493000.0,484500.0,501000.0,483000.0,494500.0,492500.0,484500.0,487500.0,507500.0,506000.0,518000.0,516500.0,513000.0,496000.0,518500.0,491000.0,476000.0,526500.0,488500.0,520500.0,512500.0,511000.0,504500.0,520500.0,498500.0,484000.0
504500.0,483500.0,494000.0,498000.0,514000.0,492500.0,491500.0,502000.0,496500.0,495000.0,491500.0,497000.0,512500.0,510000.0,493500.0,503000.0,492500.0,509500.0,496000.0,517500.0,488000.0,534000.0,465000.0,499000.0,486500.0,475000.0,508500.0,480500.0,486500.0,502500.0,490000.0,488500.0,508500.0,508000.0,520000.0,502000.0,516500.0,495500.0,518000.0,493000.0,480000.0,514500.0,497500.0,525500.0,502500.0,511500.0,508000.0,522000.0,494500.0,484000.0
516500.0,479500.0,491500.0,494500.0,512000.0,488000.0,506000.0,497500.0,484500.0,501000.0,502000.0,501000.0,497000.0,510000.0,505500.0,504000.0,493000.0,512500.0,483000.0,512500.0,495500.0,531000.0,463000.0,509000.0,485000.0,471000.0,512000.0,482000.0,482000.0,499500.0,489500.0,490500.0,505500.0,511000.0,514000.0,498500.0,509500.0,525500.0,491500.0,516500.0,477000.0,512000.0,490000.0,516500.0,508000.0,518000.0,501000.0,522000.0,488000.0,494000.0
517000.0,482000.0,481500.0,500000.0,512000.0,488500.0,507000.0,492500.0,478000.0,501500.0,504500.0,499500.0,503000.0,508500.0,511500.0,501500.0,491000.0,516500.0,488000.0,499000.0,492000.0,527500.0,477000.0,503500.0,504500.0,463500.0,504000.0,492500.0,471000.0,504500.0,493500.0,488500.0,505500.0,503000.0,502000.0,514500.0,500500.0,535000.0,495000.0,505500.0,478000.0,503000.0,501000.0,513500.0,513000.0,518000.0,490500.0,527000.0,495500.0,494500.0
508500.0,497500.0,479000.0,498500.0,499000.0,501000.0,504500.0,493000.0,489500.0,508500.0,489000.0,496500.0,514500.0,497500.0,521500.0,486500.0,489500.0,528500.0,483000.0,506500.0,492500.0,515500.0,490500.0,498000.0,505500.0,461000.0,508000.0,489000.0,476000.0,502000.0,490000.0,494000.0,500000.0,502000.0,501500.0,508000.0,514000.0,532500.0,479500.0,510500.0,478000.0,513000.0,501500.0,506000.0,517000.0,525500.0,484000.0,520500.0,504000.0,488500.0
494000.0,502500.0,474000.0,510000.0,493500.0,507500.0,499500.0,483000.0,489000.0,510500.0,494000.0,502000.0,503000.0,504000.0,519500.0,489000.0,489000.0,529000.0,473000.0,516000.0,491000.0,506500.0,512000.0,490000.0,504000.0,458000.0,507500.0,483000.0,478500.0,497500.0,496000.0,498000.0,494000.0,507500.0,506500.0,507500.0,506000.0,532500.0,486500.0,513000.0,478500.0,505500.0,509000.0,488500.0,532000.0,514000.0,502000.0,512000.0,496500.0,504500.0
497000.0,508000.0,467500.0,508500.0,493000.0,516000.0,483500.0,503500.0,478000.0,507500.0,498000.0,500000.0,504500.0,509000.0,503500.0,503000.0,493500.0,518500.0,472000.0,507000.0,500500.0,500500.0,513500.0,490500.0,514000.0,471500.0,492500.0,481500.0,479000.0,495000.0,500000.0,503000.0,483500.0,516500.0,499500.0,514000.0,502000.0,525500.0,492500.0,511500.0,489500.0,495000.0,525000.0,477000.0,532000.0,516000.0,485000.0,528500.0,499000.0,495000.0
498500.0,506500.0,475000.0,500500.0,494000.0,510500.0,487500.0,509000.0,475500.0,503000.0,500500.0,492500.0,513000.0,508000.0,508000.0,507500.0,486000.0,516500.0,470500.0,509500.0,505000.0,497000.0,514500.0,487000.0,522000.0,474000.0,484000.0,488500.0,475500.0,491000.0,499500.0,505500.0,486500.0,505500.0,508000.0,510500.0,499000.0,522500.0,506000.0,503500.0,490000.0,502500.0,514500.0,482000.0,535000.0,504000.0,497500.0,516000.0,498500.0,503000.0
506500.0,492000.0,488500.0,488500.0,499500.0,501000.0,497500.0,508500.0,465500.0,507500.0,503000.0,498500.0,504500.0,517000.0,508500.0,501000.0,483000.0,524500.0,471000.0,506500.0,492000.0,502500.0,511000.0,505500.0,507000.0,487000.0,486000.0,471000.0,487000.0,488000.0,491000.0,507500.0,489000.0,504500.0,505500.0,512000.0,506000.0,511000.0,517000.0,498500.0,498000.0,500500.0,511000.0,494500.0,512000.0,514000.0,493500.0,509500.0,509000.0,506500.0
508000.0,487000.0,499500.0,483000.0,497500.0,505500.0,500500.0,493000.0,483000.0,493500.0,508500.0,495500.0,510500.0,516000.0,508000.0,500500.0,482500.0,513500.0,485500.0,503000.0,485000.0,498000.0,523000.0,513000.0,495500.0,499000.0,482000.0,467500.0,486500.0,483500.0,499000.0,502500.0,489500.0,499500.0,501000.0,516000.0,510000.0,515500.0,513500.0,493000.0,505000.0,490500.0,517500.0,490000.0,514500.0,512500.0,502000.0,508000.0,511500.0,502000.0
496500.0,491500.0,505000.0,482500.0,485000.0,518500.0,487500.0,504000.0,483000.0,489000.0,505000.0,504000.0,505500.0,523000.0,493000.0,501500.0,492000.0,511000.0,491000.0,494500.0,487500.0,504000.0,518500.0,519000.0,485500.0,511500.0,463000.0,483500.0,485000.0,470500.0,514000.0,497000.0,486500.0,497500.0,500000.0,516000.0,510500.0,506500.0,515500.0,494000.0,515000.0,503000.0,510500.0,483000.0,503000.0,533500.0,490500.0,515000.0,521000.0,497000.0
496000.0,496000.0,493500.0,491000.0,483000.0,527000.0,479000.0,504000.0,488000.0,474500.0,512000.0,508500.0,494500.0,532000.0,490000.0,502500.0,512500.0,491500.0,498500.0,493500.0,480500.0,509000.0,511500.0,523500.0,482000.0,512000.0,474500.0,477500.0,485500.0,478500.0,498000.0,504500.0,478000.0,493500.0,521500.0,512000.0,505500.0,502500.0,515000.0,496000.0,505500.0,515500.0,505500.0,499000.0,487000.0,538500.0,486500.0,516000.0,504500.0,513500.0
492500.0,505500.0,484000.0,494000.0,485000.0,509000.0,488500.0,500000.0,498500.0,470500.0,508500.0,507500.0,500000.0,533500.0,482500.0,498500.0,517000.0,493000.0,504000.0,487500.0,493500.0,498500.0,516500.0,509000.0,497500.0,509000.0,475000.0,479500.0,477000.0,493000.0,479000.0,497000.0,498500.0,488500.0,525500.0,506000.0,500500.0,512500.0,513000.0,498500.0,499000.0,521500.0,505500.0,498500.0,482000.0,529500.0,501500.0,507500.0,505500.0,522500.0
